Province,City,Price,Bedrooms,Bathrooms,Square Feet,Property Type
Ontario,toronto-on,749800.0,3.0,2.0,899.0,Townhouse
Ontario,toronto-on,2799000.0,5.0,6.0,3000.0,House
Ontario,toronto-on,599900.0,2.0,2.0,600.0,Apt/Condo
Ontario,toronto-on,505000.0,2.0,1.0,799.0,Apt/Condo
Ontario,toronto-on,1049999.0,4.0,2.0,1500.0,House
Ontario,toronto-on,1700000.0,4.0,4.0,2000.0,House
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,4488000.0,6.0,6.0,3500.0,House
Ontario,toronto-on,2949900.0,6.0,6.0,5000.0,House
Ontario,toronto-on,2349000.0,7.0,5.0,2500.0,House
Ontario,toronto-on,988800.0,2.0,2.0,999.0,Apt/Condo
Ontario,toronto-on,3488000.0,5.0,7.0,5000.0,House
Ontario,toronto-on,2799000.0,5.0,6.0,3000.0,House
Ontario,toronto-on,1270000.0,2.0,2.0,1200.0,Apt/Condo
Ontario,toronto-on,875000.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,1200000.0,5.0,2.0,1500.0,House
Ontario,toronto-on,1200000.0,5.0,2.0,2000.0,House
Ontario,toronto-on,879000.0,2.0,3.0,1000.0,Townhouse
Ontario,toronto-on,589000.0,2.0,1.0,500.0,Apt/Condo
Ontario,toronto-on,649000.0,3.0,2.0,1000.0,Townhouse
Ontario,toronto-on,470000.0,1.0,1.0,500.0,Apt/Condo
Ontario,toronto-on,538888.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,349000.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,1298888.0,6.0,4.0,2500.0,House
Ontario,toronto-on,648888.0,2.0,2.0,899.0,Apt/Condo
Ontario,toronto-on,2090000.0,5.0,5.0,3000.0,House
Ontario,toronto-on,1999888.0,4.0,4.0,2500.0,House
Ontario,toronto-on,479999.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,479999.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,1498000.0,3.0,2.0,1100.0,House
Ontario,toronto-on,3990000.0,6.0,6.0,3000.0,House
