Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,799000.0,675.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1999.0
BC,Vancouver,818000.0,672.0,1.0,1.0,CONDO,2019.0
BC,Vancouver,599900.0,552.0,1.0,1.0,CONDO,2002.0
BC,Vancouver,2499900.0,1961.0,5.0,4.0,MULTI_FAMILY,2025.0
BC,Vancouver,2899000.0,2449.0,4.0,4.0,SINGLE_FAMILY_HOUSE,2003.0
BC,Vancouver,3999999.0,3730.0,5.0,5.0,SINGLE_FAMILY_HOUSE,1996.0
BC,Vancouver,1898000.0,1758.0,5.0,5.0,SINGLE_FAMILY_HOUSE,2023.0
BC,Vancouver,1099000.0,882.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2019.0
BC,Vancouver,1469000.0,1183.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2001.0
BC,Vancouver,1199000.0,1259.0,3.0,4.0,SINGLE_FAMILY_HOUSE,2022.0
BC,Vancouver,1269000.0,1128.0,2.0,2.0,TOWNHOUSE,1982.0
BC,Vancouver,1469000.0,1166.0,3.0,2.0,TOWNHOUSE,1982.0
BC,Vancouver,2348000.0,2614.0,2.0,5.0,SINGLE_FAMILY_HOUSE,1931.0
BC,Vancouver,1299000.0,1230.0,2.0,2.0,CONDO,1994.0
BC,Vancouver,1048800.0,991.0,2.0,2.0,CONDO,1975.0
BC,Vancouver,668800.0,514.0,1.0,1.0,CONDO,2006.0
BC,Vancouver,878000.0,850.0,2.0,2.0,CONDO,2011.0
BC,Vancouver,4480000.0,4470.0,9.0,8.0,SINGLE_FAMILY_HOUSE,1996.0
BC,Vancouver,1049000.0,783.0,2.0,1.0,SINGLE_FAMILY_HOUSE,2009.0
BC,Vancouver,1850000.0,2434.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1965.0
BC,Vancouver,630000.0,990.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1984.0
